MODULE_TEMP,Amb_Temp,WIND_Speed,IRR (W/m2),DC Current in Amps,AC Ir in Amps,AC Iy in Amps,AC Ib in Amps,AC Power in Watts
18.7675,17.8519,47.60506,6.388252,0.6,8.6,8.6,8.7,3233
18.615,18.59573,64.26684,12.7765,0.66,9.6,9.7,10,4504
18.92,18.59573,85.68912,17.03534,4.74,11.9,12,12.4,6614
18.92,18.59573,83.30886,25.55301,8.18,14.8,14.7,14.7,8971
19.0725,18.59573,57.12608,36.20009,26.66,18.6,18.4,18.5,12071
18.7675,18.59573,57.12608,46.84718,43.06,23.3,23.2,23.3,15894
19.53,18.59573,61.88658,61.7531,55.64,29.7,29.4,29.5,20615
19.835,18.59573,47.60506,72.40018,61.2,32.8,32.6,32.8,22972
19.9875,19.33956,54.74582,78.78844,66.74,35.8,35.8,35.9,25247
19.835,18.59573,54.74582,91.56494,78.52,41.8,41.6,41.6,29474
20.445,18.59573,61.88658,114.9885,99.6799984,52.6,52.600001,52.7,37576
20.9025,18.59573,335.6157,112.8591,98.3199984,52.200001,52.100001,52.300001,37309
20.9025,18.59573,457.0086,140.5415,121.16,64.2,64.2,64.4,46113
21.5125,19.33956,476.0506,227.8476,190.32,101.2,101.1,101.1,73234
23.19,19.33956,585.5423,270.436,226.24,119.7,119.7,119.9,86709
24.5625,20.08339,540.3174,281.0831,237,126.1,126.1,126.3,90940
25.7825,20.08339,585.5423,276.8242,234.76,124.6,124.5,124.4,89512
27.0025,20.82722,585.5423,285.3419,241.96,127.8,127.7,128,92057
27.46,20.82722,585.5423,298.1184,250.5,132.2,132,132.3,95342
28.5275,21.57104,585.5423,223.5888,192,102.1,101.9,102.1,73050
27.9175,21.57104,585.5423,212.9417,181.08,96.1,96,96.1,68706
28.985,21.57104,585.5423,298.1184,250.66,131.6,131.5,131.7,94446
31.12,22.31487,587.9225,385.4245,327.5,171.4,171.2,171.3,123593
32.95,22.31487,585.5423,357.7421,303.48,156.2,156.3,156.1,113291
33.7125,22.31487,585.5423,396.0716,337.64,173.7,173.5,173.4,125873
34.47499,23.0587,587.9225,391.8128,333.8,171.3,171.1,171.4,124201
34.32249,23.0587,587.9225,281.0831,242.54,125.1,124.8,124.8,90218
33.1025,22.31487,587.9225,255.5301,217.72,112.8,112.7,112.7,81443
32.34,23.0587,587.9225,261.9183,222.96,115.5,115.5,115.9,83374
32.34,23.0587,587.9225,298.1184,252.68,129.9,129.8,129.9,94194
32.95,23.0587,587.9225,323.6714,276.58,141.8,141.8,141.8,103012
34.32249,23.80253,587.9225,304.5067,259.56,132.5,132.7,132.9,96157
35.085,23.80253,587.9225,289.6007,249.52,127.7,127.7,127.7,92172
34.17,23.80253,587.9225,268.3065,231.06,118.2,118.2,118,85282
33.7125,23.0587,587.9225,238.4947,204.58,105.5,105.6,105.6,75891
33.4075,23.80253,587.9225,234.2359,200.66,102.9,102.9,102.9,74469
33.4075,23.80253,587.9225,242.7536,208.94,107.2,107.2,107.5,77583
32.79749,23.80253,587.9225,255.5301,219.06,113.5,113.4,113.4,81580
32.1875,23.80253,587.9225,264.0478,226.64,117.3,117.2,117.3,84421
32.34,23.80253,587.9225,278.9536,240.54,124.5,124.5,124.7,89410
32.4925,23.80253,587.9225,302.3773,259.28,134.2,134.2,134.5,96456
33.865,23.80253,587.9225,355.6127,302.54,154.8,154.8,154.8,111899
36.1525,24.54636,587.9225,419.4952,357,183,182.8,183,131856
38.5925,25.29019,587.9225,445.0482,377.02,191.1,191,191.2,137605
40.1175,24.54636,587.9225,602.6251,518.66,262.4,261.7,262,190423
42.2525,25.29019,587.9225,589.8486,496.24,246.2,245.9,246.2,178510
45.75999,26.03402,533.1767,845.3787,711.96,340.4,340.3,340.4,252254
49.725,26.77785,587.9225,772.9785,661.5,317.4,316.8,314.8,236102
50.945,26.77785,590.3028,772.9785,656.38,308.4,308.5,308.9,229040
50.945,26.03402,590.3028,811.308,677.24,316.1,316.2,315.9,234738
53.07999,26.77785,590.3028,649.4723,549.22,259.2,259.2,259.4,191511
51.0975,26.03402,590.3028,824.0845,688.22,324.5,324.9,324.7,240505
52.165,26.77785,590.3028,866.6728,727.9,339.9,339.4,339.5,252554
53.23249,26.77785,590.3028,847.5081,713.7,333.9,333.9,334.2,247643
54.14749,27.52168,590.3028,892.2258,753.9,348.7,348.7,349,259953
54.4525,27.52168,590.3028,798.5315,681.64,317,317,316.9,235248
54.90999,26.77785,590.3028,881.5787,727.64,337.4,336.9,337.3,250593
57.65499,27.52168,585.5423,726.1313,627.8,297.1,296.4,296.8,217714
55.825,27.52168,554.599,660.1194,541.86,253.5,253.5,253.9,186939
53.5375,27.52168,495.0926,664.3782,554.22,263,261.8,262,194363
55.0625,27.52168,540.3174,979.5319,828.359976,381.6,381.7,382.4,283592
58.875,28.26551,495.0926,841.1198,717.96,325,325,325.2,241335
59.485,27.52168,540.3174,736.7784,633.9,293.3,293.4,293.5,217851
57.50249,27.52168,478.4309,975.2731,809.059984,364.7,364.3,364.5,272714
57.65499,27.52168,414.164,996.5673,841.779992,381.7,381.6,382,285670
62.84,29.00933,399.8825,721.8725,667.6,314.7,314.6,314.9,240036
61.00999,28.26551,430.8258,790.0138,708.98,316.1,317.1,317.8,234806
57.35,28.26551,366.559,583.4603,508.96,238.1,238.2,238.2,176973
54.75749,29.00933,461.7691,585.5898,495.22,231.9,232.3,232.4,171326
61.4675,29.00933,568.8805,992.3085,776.939994,334.6,334.8,334.5,251020
59.3325,29.00933,511.7544,551.5191,466.14,216.5,216.6,216.5,158233
55.67249,29.75317,459.3889,496.1542,419.14,199.4,199.2,199.3,145436
52.165,29.75317,592.683,589.8486,500.78,237.7,237.6,237.6,174999
52.0125,29.75317,576.0212,787.8843,682.6,316.8,317.3,317.5,234016
52.775,29.75317,559.3594,553.6485,471.82,225.2,225.1,225.3,165364
51.55499,29.75317,595.0633,521.7073,442.06,212.2,212.2,212.1,155421
50.7925,29.75317,595.0633,606.884,508.9,241.9,242,242.3,178766
52.46999,29.75317,595.0633,538.7426,460.9,218,218.1,218.2,160491
50.64,29.00933,576.0212,577.0721,493.48,233.7,233.7,233.8,172586
51.25,29.75317,595.0633,1022.12,896.339986,413,412.9,413.7,310778
55.3675,29.75317,585.5423,834.7316,687.3,312.6,312.5,313.6,235528
53.69,29.75317,492.7124,487.6365,415.8,195.2,195.1,195.3,144038
49.115,29.00933,528.4162,506.8013,435.68,206.7,206.3,206.7,152767
46.675,29.00933,497.4729,474.8601,403.7,193.1,193.3,193.5,142988
43.4725,29.00933,554.599,464.213,395.46,190.9,190.8,190.8,141365
43.93,29.00933,580.7817,451.4365,385.92,185.3,185.2,185,138076
43.1675,29.00933,595.0633,449.307,382.84,184.9,184.7,185.1,137317
42.405,29.00933,549.8385,483.3777,412,198.4,198.2,198.4,147996
41.33749,29.00933,595.0633,549.3896,465.52,224.1,224.1,224.6,168058
43.4725,29.00933,595.0633,568.5544,486.18,231.6,231.5,231.8,173887
44.3875,29.00933,595.0633,519.5778,442.8,210.1,209.7,210,157671
46.2175,29.75317,595.0633,672.8959,540.14,245,245.6,246.5,185515
47.59,29.75317,595.0633,476.9895,412.04,194.9,194.6,194.9,145468
47.895,29.00933,595.0633,579.2015,503.8,237.5,237.5,237.7,177743
46.8275,29.00933,595.0633,491.8954,422.08,200.7,200.5,200.7,149248
47.895,29.75317,595.0633,466.3424,401.28,189.9,189.8,189.9,140797
44.3875,29.00933,595.0633,613.2722,531.66,253.7,253.4,253.5,190357
43.7775,29.00933,595.0633,621.7899,571.08,273.8,273.9,275.4,205429
44.0825,29.00933,595.0633,494.0248,449.58,216.7,216.3,217.8,161014
43.1675,29.00933,595.0633,468.4718,431.94,212.2,211.8,211.4,157184
44.0825,29.00933,592.683,719.743,643.48,310.5,310.7,309.4,233425
48.2,29.75317,595.0633,598.3662,578.7,286.6,282.6,283.1,217020
47.1325,29.75317,595.0633,410.9775,370.12,179.9,179.6,179.9,133649
45.14999,29.75317,378.4602,383.2951,325.88,156.6,156.8,156.9,115785
41.33749,29.00933,371.3195,572.8132,502.68,247.5,247.2,247.4,184638
42.5575,29.75317,383.2208,334.3185,296.54,146.2,145.8,146,107328
40.88,29.00933,595.0633,268.3065,233.6,115.3,115.5,115.6,84707
38.745,29.00933,595.0633,300.2479,259.9,128.9,129,129.3,94713
38.28749,29.00933,592.683,479.1189,393.2,186.8,186.6,186.9,138379
40.57499,29.00933,595.0633,623.9193,530.72,254.5,254.4,254.6,190243
43.4725,29.00933,595.0633,342.8362,313.62,155.4,154.3,154.6,115436
41.6425,29.75317,592.683,295.989,255.72,124.5,124.4,124.5,91598
39.66,29.00933,595.0633,528.0955,451.96,221.1,221.2,221.4,164342
40.57499,29.00933,595.0633,530.2249,452.44,220.6,220.6,220.9,163881
41.49,29.75317,595.0633,470.6013,405.3,198.9,198.8,199,146886
41.185,29.75317,595.0633,396.0716,358.54,175.4,174.9,175,129928
39.965,29.00933,595.0633,404.5893,345.34,170,169.8,170,125354
40.27,29.00933,592.683,383.2951,330.46,162.9,162.8,163.1,120349
39.05,29.00933,592.683,374.7774,322.88,159.5,159.4,159.5,117934
38.5925,29.00933,595.0633,391.8128,337.22,166.9,167.1,167.3,123627
39.5075,29.75317,595.0633,372.648,323.7,160.1,160.1,160.2,118235
40.42249,29.75317,595.0633,313.0243,264.68,129.7,129.7,130.5,95491
39.05,29.00933,595.0633,219.33,192.28,96.2,95.9,95.9,70164
37.0675,29.00933,595.0633,195.9064,171.02,86.5,86.4,86.2,63143
36.1525,29.00933,592.683,272.5654,239.92,119.7,119.7,119.9,88288
34.32249,29.00933,595.0633,244.883,213.8,107.1,107.3,107.4,78757
35.695,29.00933,592.683,232.1065,204.16,103.3,102.9,103.1,75760
35.695,29.75317,592.683,146.9298,126.42,63.5,63.5,63.5,46117
34.77999,29.00933,592.683,132.0239,118.1,60,60.1,60,43706
32.79749,28.26551,592.683,91.56494,76.26,39.8,39.9,40,28743
32.34,28.26551,592.683,123.5062,107.8399996,55.9,55.8,55.8,40583
32.1875,28.26551,592.683,100.0826,85.6599998,44.800001,44.800001,44.6,32377
31.425,28.26551,545.078,89.43552,76.42,40.200001,39.9,40.1,28667
30.815,28.26551,585.5423,93.69436,82.28,43.000001,43.000001,43.000001,30800
30.51,28.26551,583.162,63.88252,57.12,30.7,30.5,30.5,21709
29.7475,28.26551,466.5296,53.23543,47.44,26,25.8,25.8,18022
29.1375,28.26551,461.7691,44.71776,40.04,21.8,21.7,21.9,15200
28.68,27.52168,390.3615,48.9766,45.72,24.7,24.5,24.9,17156
28.5275,28.26551,404.643,44.71776,40.56,22.2,22.1,22.3,15503
28.2225,28.26551,368.9392,44.71776,40.64,22.2,22,22,15443
27.9175,28.26551,518.8952,44.71776,38.38,21.6,21.5,21.5,14923
28.07,27.52168,471.2901,55.36485,49.12,26.1,25.9,25.9,18458
28.2225,27.52168,440.3468,53.23543,46.58,25.1,25,25,17672
28.07,27.52168,466.5296,38.32951,32.84,19.9,19.8,19.7,13551
27.46,27.52168,447.4876,25.55301,7.1,14.8,14.7,15.1,9557
19.835,18.59573,228.5043,8.51767,0.64,9.1,8.9,9.1,3801
19.835,19.33956,228.5043,14.90592,2.62,10.8,10.7,10.8,5583
19.9875,19.33956,266.5883,21.29417,6.18,13.4,13.3,13.5,7809
20.14,19.33956,249.9266,29.81184,16.14,16.4,16.2,16.3,10308
20.14,19.33956,240.4056,36.20009,25.46,18.6,18.5,18.5,11978
20.2925,19.33956,238.0253,42.58834,38.74,21.5,21.4,21.4,14438
20.445,19.33956,240.4056,55.36485,49.06,26.5,26.4,26.5,18187
20.75,19.33956,242.7858,70.27077,59.14,31.9,31.7,31.9,22117
21.055,19.33956,247.5463,83.04727,68.98,37.4,37.2,37.3,26084
21.2075,20.08339,273.7291,95.82378,79.6,42.8,42.700002,42.800001,30127
21.36,19.33956,264.2081,108.6003,91.1599998,49,49,49,34598
21.665,20.08339,376.08,125.6356,105.2999986,56.6,56.8,56.8,40218
22.1225,20.08339,585.5423,146.9298,123.22,66.1,66.3,66.2,46732
22.4275,20.08339,28.56304,183.1299,154.86,83.1,83.1,83.3,59100
23.3425,20.08339,585.5423,236.3653,199.2,107.1,107,107.1,76179
24.2575,20.08339,585.5423,285.3419,237.18,128,128,128,91264
25.4775,20.82722,585.5423,283.2125,236.12,126.8,126.8,126.9,90406
25.935,20.82722,585.5423,240.6242,203.46,110.1,110,110.1,78277
25.63,20.82722,585.5423,134.1533,111.6399996,60.4,60.4,60.3,42603
25.1725,20.08339,585.5423,117.118,98.0999982,53.3,53.3,53.2,37699
24.71499,20.82722,585.5423,93.69436,78.6999998,42.900001,42.700003,42.700003,30068
24.5625,20.08339,585.5423,138.4121,114.2,61.6,61.4,61.4,43585
24.2575,20.08339,585.5423,202.2946,167.14,88.6,88.6,88.7,63033
27.9175,20.82722,585.5423,340.7068,283.36,150.5,150.4,150.5,107632
30.0525,20.82722,585.5423,364.1303,308.08,162.8,162.7,163,116303
31.8825,21.57104,587.9225,385.4245,328.1,172.4,172.2,172.3,123057
33.4075,21.57104,587.9225,253.4007,223.2,124.7,124.6,124.6,89308
35.2375,21.57104,402.2628,423.7541,354.82,185.3,185.2,185.4,132225
36.61,21.57104,373.6998,445.0482,372.56,194.2,193.9,194.4,138090
37.9825,21.57104,316.5737,310.8949,307.88,162,161.6,161.5,114685
38.43999,22.31487,347.517,494.0248,412.94,213.3,213.2,213.2,152303
39.2025,22.31487,587.9225,513.1896,430.02,221.5,221.6,221.9,158362
40.1175,23.0587,587.9225,528.0955,444.42,229,228.9,229.2,163251
40.7275,23.0587,587.9225,549.3896,461.08,235.5,235.2,235.3,168682
42.8625,23.0587,587.9225,570.6838,477.06,242.7,242.4,242.8,173774
43.32,23.80253,587.9225,583.4603,488.74,249.5,249.2,249.5,177769
