train,test,featureset,same_site,R2,RMSE,RMSE_over_cap
A,A,leak_aware,True,0.9831361008559288,11857.821199264677,0.036502352092334434
A,A,leaky,True,0.9991483369619218,2664.7704211214163,0.008203057418595934
A,B,leak_aware,False,0.9480692657873563,15005.700665798193,0.06371847416474817
A,B,leaky,False,0.9892189495721652,6837.141785375077,0.02903244919479863
A,C,leak_aware,False,-44.76420622908479,104889.74937945741,1.9111518936548186
A,C,leaky,False,0.9561727560888371,3245.95250645739,0.05914313187065922
B,A,leak_aware,False,0.8748169947724755,32265.291113282845,0.0993233914381973
B,A,leaky,False,0.9619651091755197,17785.004860890058,0.054748212043907854
B,B,leak_aware,True,0.9883070601935132,7100.3297906230655,0.030150020342348472
B,B,leaky,True,0.999918298224663,593.5159721445714,0.0025202376736499846
B,C,leak_aware,False,-25.966219833130673,80515.615277595,1.4670410742414774
B,C,leaky,False,0.9502653685054511,3457.797316506686,0.06300306682409282
C,A,leak_aware,False,-1.1344683306536614,133231.758156743,0.4101320524566319
C,A,leaky,False,-0.6076906179370376,115628.29982048945,0.35594270152658813
C,B,leak_aware,False,0.07869548148989414,63204.15770478482,0.26838283526447904
C,B,leaky,False,0.3895854077301274,51446.57898508482,0.21845681097700562
C,C,leak_aware,True,0.8359997673936809,6265.51344318243,0.11416127841376073
C,C,leaky,True,0.9999032470574444,152.18313457562684,0.0027728647226942195
