seed,featureset,model,R2,RMSE_W,MAE_W
0,leaky,HistGBDT,0.999235961104229,2534.046694661232,1622.937882999499
0,leaky,Transformer,0.9992201328277588,2560.1469684375543,1789.39111328125
0,leak_aware,HistGBDT,0.9833399649293351,11832.999191782414,7904.962869426604
0,leak_aware,Transformer,0.9808610677719116,12682.81609107378,9064.9833984375
1,leaky,HistGBDT,0.999244002254164,2520.676598460459,1609.7310267026508
1,leaky,Transformer,0.9993067979812622,2413.757237171957,1556.7459716796875
1,leak_aware,HistGBDT,0.9832524551359628,11864.035953655348,7932.889137549479
1,leak_aware,Transformer,0.9828894734382629,11991.910606738194,8362.548828125
2,leaky,HistGBDT,0.999234014325452,2537.273028994791,1621.780645969326
2,leaky,Transformer,0.9993686079978943,2303.594799438478,1683.501953125
2,leak_aware,HistGBDT,0.9837395062661475,11690.24850871228,7821.806796058214
2,leak_aware,Transformer,0.9825087785720825,12124.585271257734,8221.84375
