seed,featureset,pair,spearman,top1_match,top2_overlap
0,leaky,SHAP-LIME,1.0,1.0,1.0
0,leaky,SHAP-IG,0.9761904761904764,1.0,1.0
0,leaky,SHAP-ICE,0.9761904761904764,1.0,1.0
0,leaky,SHAP-PDP,0.9761904761904764,1.0,1.0
0,leaky,LIME-IG,0.9761904761904764,1.0,1.0
0,leaky,LIME-ICE,0.9761904761904764,1.0,1.0
0,leaky,LIME-PDP,0.9761904761904764,1.0,1.0
0,leaky,IG-ICE,0.9523809523809524,1.0,1.0
0,leaky,IG-PDP,0.9523809523809524,1.0,1.0
0,leaky,ICE-PDP,1.0,1.0,1.0
0,leak_aware,SHAP-LIME,0.7999999999999999,1.0,0.5
0,leak_aware,SHAP-IG,1.0,1.0,1.0
0,leak_aware,SHAP-ICE,0.3999999999999999,1.0,0.5
0,leak_aware,SHAP-PDP,0.3999999999999999,1.0,0.5
0,leak_aware,LIME-IG,0.7999999999999999,1.0,0.5
0,leak_aware,LIME-ICE,0.7999999999999999,1.0,1.0
0,leak_aware,LIME-PDP,0.7999999999999999,1.0,1.0
0,leak_aware,IG-ICE,0.3999999999999999,1.0,0.5
0,leak_aware,IG-PDP,0.3999999999999999,1.0,0.5
0,leak_aware,ICE-PDP,1.0,1.0,1.0
1,leaky,SHAP-LIME,0.9761904761904764,1.0,1.0
1,leaky,SHAP-IG,0.9523809523809524,1.0,1.0
1,leaky,SHAP-ICE,0.9761904761904764,1.0,1.0
1,leaky,SHAP-PDP,0.9761904761904764,1.0,1.0
1,leaky,LIME-IG,0.9761904761904764,1.0,1.0
1,leaky,LIME-ICE,1.0,1.0,1.0
1,leaky,LIME-PDP,1.0,1.0,1.0
1,leaky,IG-ICE,0.9761904761904764,1.0,1.0
1,leaky,IG-PDP,0.9761904761904764,1.0,1.0
1,leaky,ICE-PDP,1.0,1.0,1.0
1,leak_aware,SHAP-LIME,0.7999999999999999,1.0,1.0
1,leak_aware,SHAP-IG,0.7999999999999999,1.0,1.0
1,leak_aware,SHAP-ICE,1.0,1.0,1.0
1,leak_aware,SHAP-PDP,1.0,1.0,1.0
1,leak_aware,LIME-IG,1.0,1.0,1.0
1,leak_aware,LIME-ICE,0.7999999999999999,1.0,1.0
1,leak_aware,LIME-PDP,0.7999999999999999,1.0,1.0
1,leak_aware,IG-ICE,0.7999999999999999,1.0,1.0
1,leak_aware,IG-PDP,0.7999999999999999,1.0,1.0
1,leak_aware,ICE-PDP,1.0,1.0,1.0
2,leaky,SHAP-LIME,0.9761904761904764,1.0,1.0
2,leaky,SHAP-IG,0.9761904761904764,1.0,1.0
2,leaky,SHAP-ICE,1.0,1.0,1.0
2,leaky,SHAP-PDP,0.9761904761904764,1.0,1.0
2,leaky,LIME-IG,1.0,1.0,1.0
2,leaky,LIME-ICE,0.9761904761904764,1.0,1.0
2,leaky,LIME-PDP,1.0,1.0,1.0
2,leaky,IG-ICE,0.9761904761904764,1.0,1.0
