seed,featureset,pair,spearman,top1_match,top2_overlap
0,leaky,SHAP-LIME,0.8300000000000001,0.78,0.8966666666666666
0,leaky,SHAP-IG,0.7822222222222223,0.7266666666666667,0.8766666666666667
0,leaky,SHAP-ICE,0.8220634920634922,0.6333333333333333,0.8633333333333333
0,leaky,LIME-IG,0.8446031746031746,0.8733333333333333,0.9566666666666668
0,leaky,LIME-ICE,0.8687301587301588,0.7733333333333333,0.88
0,leaky,IG-ICE,0.7907936507936508,0.8266666666666667,0.8933333333333333
0,leak_aware,SHAP-LIME,0.7253333333333333,0.9533333333333334,0.78
0,leak_aware,SHAP-IG,0.7893333333333332,0.9466666666666668,0.8633333333333333
0,leak_aware,SHAP-ICE,0.5626666666666666,0.9866666666666668,0.65
0,leak_aware,LIME-IG,0.8386666666666667,0.9933333333333332,0.8266666666666667
0,leak_aware,LIME-ICE,0.7226666666666667,0.9666666666666668,0.8066666666666666
0,leak_aware,IG-ICE,0.6519999999999999,0.96,0.7166666666666667
1,leaky,SHAP-LIME,0.8469841269841271,0.8466666666666667,0.8966666666666666
1,leaky,SHAP-IG,0.846031746031746,0.8066666666666666,0.8966666666666666
1,leaky,SHAP-ICE,0.8368253968253969,0.5933333333333334,0.77
1,leaky,LIME-IG,0.9161904761904764,0.94,0.9766666666666668
1,leaky,LIME-ICE,0.8533333333333334,0.66,0.7866666666666666
1,leaky,IG-ICE,0.8434920634920635,0.68,0.7833333333333333
1,leak_aware,SHAP-LIME,0.6519999999999999,0.9533333333333334,0.7733333333333333
1,leak_aware,SHAP-IG,0.6426666666666666,0.9533333333333334,0.77
1,leak_aware,SHAP-ICE,0.7066666666666664,0.9666666666666668,0.7766666666666666
1,leak_aware,LIME-IG,0.8506666666666667,1.0,0.8633333333333333
1,leak_aware,LIME-ICE,0.7519999999999999,0.9866666666666668,0.8333333333333334
1,leak_aware,IG-ICE,0.7213333333333333,0.9866666666666668,0.81
2,leaky,SHAP-LIME,0.8001587301587302,0.6266666666666667,0.67
2,leaky,SHAP-IG,0.8165079365079365,0.6333333333333333,0.7366666666666667
2,leaky,SHAP-ICE,0.8207936507936509,0.4,0.58
2,leaky,LIME-IG,0.8885714285714286,0.8933333333333333,0.8533333333333334
2,leaky,LIME-ICE,0.8633333333333333,0.68,0.82
2,leaky,IG-ICE,0.8604761904761905,0.7,0.7333333333333333
2,leak_aware,SHAP-LIME,0.8266666666666664,0.9733333333333334,0.7833333333333333
2,leak_aware,SHAP-IG,0.7786666666666665,0.9533333333333334,0.7166666666666667
2,leak_aware,SHAP-ICE,0.7293333333333332,0.9533333333333334,0.6333333333333333
2,leak_aware,LIME-IG,0.8999999999999998,0.98,0.8766666666666667
2,leak_aware,LIME-ICE,0.8346666666666666,0.94,0.81
2,leak_aware,IG-ICE,0.8013333333333332,0.9466666666666668,0.79
3,leaky,SHAP-LIME,0.8617460317460319,0.82,0.86
3,leaky,SHAP-IG,0.8163492063492064,0.64,0.8066666666666666
3,leaky,SHAP-ICE,0.8396825396825398,0.58,0.7666666666666667
3,leaky,LIME-IG,0.8815873015873016,0.74,0.87
3,leaky,LIME-ICE,0.8255555555555556,0.62,0.76
3,leaky,IG-ICE,0.8395238095238097,0.6933333333333334,0.8533333333333334
3,leak_aware,SHAP-LIME,0.7226666666666666,0.9466666666666668,0.77
3,leak_aware,SHAP-IG,0.6639999999999999,0.9533333333333334,0.7433333333333333
3,leak_aware,SHAP-ICE,0.6026666666666665,0.9733333333333334,0.6966666666666667
3,leak_aware,LIME-IG,0.7666666666666666,0.9866666666666668,0.8
3,leak_aware,LIME-ICE,0.7693333333333333,0.9733333333333334,0.8333333333333334
3,leak_aware,IG-ICE,0.752,0.98,0.82
4,leaky,SHAP-LIME,0.8587301587301588,0.74,0.75
4,leaky,SHAP-IG,0.8261904761904763,0.7133333333333334,0.74
4,leaky,SHAP-ICE,0.8533333333333335,0.62,0.69
4,leaky,LIME-IG,0.9092063492063494,0.9466666666666668,0.9433333333333334
4,leaky,LIME-ICE,0.8704761904761907,0.6866666666666666,0.8
4,leaky,IG-ICE,0.847936507936508,0.72,0.8
4,leak_aware,SHAP-LIME,0.6986666666666665,0.9666666666666668,0.7033333333333334
4,leak_aware,SHAP-IG,0.6666666666666665,0.9666666666666668,0.7133333333333334
4,leak_aware,SHAP-ICE,0.6733333333333332,0.9866666666666668,0.7
4,leak_aware,LIME-IG,0.8426666666666666,1.0,0.88
4,leak_aware,LIME-ICE,0.7253333333333333,0.98,0.78
4,leak_aware,IG-ICE,0.6573333333333333,0.98,0.74
