seed,featureset,lag_before_t,abs_IG
0,leaky,11,0.002307233825364771
0,leaky,10,0.0019666984460976287
0,leaky,9,0.002056560795754194
0,leaky,8,0.0019931142751981193
0,leaky,7,0.0022268008588192363
0,leaky,6,0.001993997680450169
0,leaky,5,0.0021480274281930178
0,leaky,4,0.002213634066283703
0,leaky,3,0.002297023752859483
0,leaky,2,0.0028115435522825766
0,leaky,1,0.002845365316219007
0,leaky,0,0.9406850844373306
0,leak_aware,11,0.007008212273940444
0,leak_aware,10,0.007147204353823326
0,leak_aware,9,0.0072182353347307075
0,leak_aware,8,0.0072433062118943785
0,leak_aware,7,0.0071000800425341975
0,leak_aware,6,0.007041561117318148
0,leak_aware,5,0.007190795032462726
0,leak_aware,4,0.007267291446138794
0,leak_aware,3,0.007480197170904527
0,leak_aware,2,0.007787114166809867
0,leak_aware,1,0.007962041579497358
0,leak_aware,0,0.8477351545294126
1,leaky,11,0.0021503537324800465
1,leaky,10,0.0020779322339997937
1,leaky,9,0.0021433239482576026
1,leaky,8,0.0021364205652692667
1,leaky,7,0.002156937853336179
1,leaky,6,0.0021919671102659777
1,leaky,5,0.002032443893064434
1,leaky,4,0.0022192611188317337
1,leaky,3,0.0021737738000229003
1,leaky,2,0.002282224664037737
1,leaky,1,0.002286714732181281
1,leaky,0,0.7660157110728324
1,leak_aware,11,0.004835807184766357
1,leak_aware,10,0.004800100826735918
1,leak_aware,9,0.0046854919247562065
1,leak_aware,8,0.004499175050295889
1,leak_aware,7,0.0044298840488772835
1,leak_aware,6,0.004156496341020102
1,leak_aware,5,0.0035898715587003
1,leak_aware,4,0.004714218550410199
1,leak_aware,3,0.004100546949969915
1,leak_aware,2,0.003805817829173369
1,leak_aware,1,0.004808499520925882
1,leak_aware,0,0.6864940473126868
2,leaky,11,0.0027317780535668136
2,leaky,10,0.0026254549345079187
2,leaky,9,0.0023632707710688314
2,leaky,8,0.00233731937672322
2,leaky,7,0.0026918153131070236
2,leaky,6,0.0021838525709851333
2,leaky,5,0.0021301531710196287
2,leaky,4,0.002255806479176196
2,leaky,3,0.0021675843151751904
2,leaky,2,0.002162440504762344
2,leaky,1,0.002438112939707935
2,leaky,0,0.7297672130602102
2,leak_aware,11,0.00450412895064801
2,leak_aware,10,0.004171691640124967
2,leak_aware,9,0.004521717162181933
2,leak_aware,8,0.004372717294221123
2,leak_aware,7,0.004950367488975947
2,leak_aware,6,0.0043643811744793004
2,leak_aware,5,0.004450820530910278
2,leak_aware,4,0.004569955179079746
2,leak_aware,3,0.004985769937823837
2,leak_aware,2,0.004469306950535004
2,leak_aware,1,0.005106480119478268
2,leak_aware,0,0.6610321647673846
