seed,featureset,method,top_feature,concentration,MODULE_TEMP,Amb_Temp,WIND_Speed,IRR (W/m2),DC Current in Amps,AC Ir in Amps,AC Iy in Amps,AC Ib in Amps
0,leaky,SHAP,DC Current in Amps,0.3481934807492685,0.021925889719151964,0.004797600645342816,0.014058028357044332,0.02119395433526695,0.33314523062748574,0.28108298923980635,0.13938716336867465,0.1411910740024159
0,leaky,LIME,DC Current in Amps,0.3928510278233283,0.03687096477241604,0.005371237736483569,0.008894141121485673,0.01239521292534801,0.427508726444757,0.31335912545727207,0.13473167752356807,0.14908988371666645
0,leaky,IG,DC Current in Amps,0.5141120928830591,0.0449526448866042,0.007101102447704761,0.012095585626084357,0.0397926546803986,0.5671625678117077,0.2703264525843163,0.09609432579949498,0.06566320357223351
0,leaky,ICE,DC Current in Amps,0.39101832602518316,0.1679661294321219,0.06124527792135875,0.039664491315682726,0.11325631553928057,1.5157639740407467,1.1941373067100842,0.38954402233163515,0.39487499952316285
0,leaky,PDP,DC Current in Amps,0.39763800370416413,0.16689780071377758,0.04409319639205933,0.02182998418807991,0.09266515349348392,1.5155158852040769,1.1941373067100842,0.3868272728224595,0.38932877739270527
0,leak_aware,SHAP,IRR (W/m2),0.9288787438233966,0.016652784235387425,0.013260167983955596,0.03473125268743995,0.8442852541885809,,,,
0,leak_aware,LIME,IRR (W/m2),0.8935941763734863,0.04994491332998278,0.023542448390193826,0.03493646903845627,0.9105413636578157,,,,
0,leak_aware,IG,IRR (W/m2),0.890472726899888,0.035048501759301874,0.028103126560745297,0.05365051869302988,0.9496185143167774,,,,
0,leak_aware,ICE,IRR (W/m2),0.8812617226730719,0.16863523224989574,0.14102794999877613,0.12387152408560118,3.2176443076630434,,,,
0,leak_aware,PDP,IRR (W/m2),0.9168615297017938,0.12632974276940023,0.09941331704457601,0.06602403591076533,3.2176443076630434,,,,
1,leaky,SHAP,DC Current in Amps,0.39589175872343635,0.019460256868917926,0.0035439407163233103,0.003689062141164739,0.015450861646073125,0.35525456522804677,0.1311274168905931,0.26188856146145706,0.10693810231283685
1,leaky,LIME,DC Current in Amps,0.4100886848641954,0.029918400666678804,0.005505077441833604,0.008466473186311343,0.01720732373880888,0.3799099865999394,0.10283877352666164,0.24934599018489004,0.1332173115175845
1,leaky,IG,DC Current in Amps,0.4690579974818985,0.03057963830739027,0.007418678877244626,0.0076862253807485105,0.03514864678494632,0.4614679656922817,0.08241619385778903,0.2557091126218438,0.10339210285494725
1,leaky,ICE,DC Current in Amps,0.3927831992162182,0.1528562160084645,0.05360196354488532,0.05409105946620305,0.08749634976188342,1.5271902754157782,0.3245224341005087,1.0713974583148955,0.6169694953411817
1,leaky,PDP,DC Current in Amps,0.4003410901971589,0.1521514914184809,0.04022766359150409,0.043861319323380776,0.05012640508512656,1.5271629081418117,0.3127699276059866,1.0713974583148955,0.6169572438051303
1,leak_aware,SHAP,IRR (W/m2),0.922802045624839,0.037923464849332546,0.02038223798309142,0.009912571382139707,0.8154615430386425,,,,
1,leak_aware,LIME,IRR (W/m2),0.8829434885789126,0.06660164867213558,0.012474897209347751,0.020834451518047567,0.7536168942708523,,,,
1,leak_aware,IG,IRR (W/m2),0.9028915862532078,0.056620067897019906,0.008018988884675006,0.019718815468562145,0.7843399984637897,,,,
1,leak_aware,ICE,IRR (W/m2),0.8827985589607668,0.24739832689364752,0.09389978786309561,0.08668502569198608,3.22370524028937,,,,
1,leak_aware,PDP,IRR (W/m2),0.8993731641330824,0.24048685689767207,0.06610163390636442,0.05409745251139003,3.22370524028937,,,,
2,leaky,SHAP,DC Current in Amps,0.33565452345745705,0.022881635045119017,0.0038218477537212444,0.0023580246171119455,0.009267570686465623,0.28500626126289846,0.1148123200750718,0.24628116808131717,0.16467714705939376
2,leaky,LIME,DC Current in Amps,0.3729917623923537,0.03159470725233542,0.006548436537954477,0.008208989418367679,0.01699829003939502,0.3344774038638683,0.08775752575123144,0.21497474621088833,0.19618196761007078
2,leaky,IG,DC Current in Amps,0.4863143946846369,0.039244852444389834,0.00448570277794109,0.008700286515328722,0.014250340902945026,0.4878287216772636,0.08406284294712046,0.21393867870792746,0.1506024588085711
2,leaky,ICE,DC Current in Amps,0.3509392387561761,0.16088587721188863,0.045095593246320884,0.0432919409001867,0.10397413932407895,1.4395357862176994,0.48438805907343824,1.0576274191339812,0.76715282563741
2,leaky,PDP,DC Current in Amps,0.3627767863662891,0.16045690099398296,0.024922066958000255,0.035249486230313765,0.04066793048754336,1.4392220257781445,0.4807383395172655,1.0332848742604257,0.7526968537208935
2,leak_aware,SHAP,IRR (W/m2),0.901634474167332,0.018910975852955335,0.006695801567467344,0.05209650979545484,0.7122410205902993,,,,
2,leak_aware,LIME,IRR (W/m2),0.8624023189446094,0.04910262830203024,0.012266817618378221,0.0526853603961319,0.7148458367882448,,,,
2,leak_aware,IG,IRR (W/m2),0.8680311785846719,0.05788793986430392,0.012785547218906382,0.04386058729452391,0.7533533034846187,,,,
2,leak_aware,ICE,IRR (W/m2),0.8829062802206625,0.18422920842965443,0.09817956690986951,0.15016185991466047,3.261655118862788,,,,
2,leak_aware,PDP,IRR (W/m2),0.9108989169066101,0.13441579448680085,0.04391074354449909,0.1407176482925812,3.261655118862788,,,,
