seed,featureset,method,instability
0,leaky,SHAP,0.1083834655187735
0,leaky,LIME,0.1266473151386513
0,leaky,IG,0.1202954290543023
0,leaky,ICE,0.0214441487672048
0,leak_aware,SHAP,0.0261782668306844
0,leak_aware,LIME,0.0821198992101417
0,leak_aware,IG,0.1003427249652887
0,leak_aware,ICE,0.0110763849825864
1,leaky,SHAP,0.1117025681185321
1,leaky,LIME,0.2191854930759962
1,leaky,IG,0.2129158832008446
1,leaky,ICE,0.0190845772689758
1,leak_aware,SHAP,0.0088767343374997
1,leak_aware,LIME,0.1985358943308352
1,leak_aware,IG,0.2003258631009269
1,leak_aware,ICE,0.0114615216959186
2,leaky,SHAP,0.1205728818427707
2,leaky,LIME,0.1598964016542673
2,leaky,IG,0.1430992673639048
2,leaky,ICE,0.0275371754980385
2,leak_aware,SHAP,0.1305481253060337
2,leak_aware,LIME,0.2460205455415161
2,leak_aware,IG,0.2288818678348967
2,leak_aware,ICE,0.0105522724693521
3,leaky,SHAP,0.1391160796556878
3,leaky,LIME,0.1814966659832341
3,leaky,IG,0.1669357629245348
3,leaky,ICE,0.0295096157964328
3,leak_aware,SHAP,0.2469874391474947
3,leak_aware,LIME,0.2006527315130921
3,leak_aware,IG,0.2007235685911898
3,leak_aware,ICE,0.0126518385256298
4,leaky,SHAP,0.1506078284934968
4,leaky,LIME,0.1616111278808547
4,leaky,IG,0.1556170106625257
4,leaky,ICE,0.0200889546004488
4,leak_aware,SHAP,0.3304413463077129
4,leak_aware,LIME,0.1033367370009015
4,leak_aware,IG,0.0993380696409574
4,leak_aware,ICE,0.0106834865809272
