trained_on,tested_on,featureset,seed,zero_shot,R2,RMSE_W,MAE_W
A,A,leak_aware,0,False,0.9808610677719116,12682.81609107378,9064.9833984375
A,B,leak_aware,0,True,0.7755447626113892,28046.730148093917,24131.9140625
B,B,leak_aware,0,False,0.982706606388092,7784.983493881024,3407.681396484375
B,A,leak_aware,0,True,0.8801537752151489,31737.235166283783,22178.130859375
A,A,leaky,0,False,0.9992201328277588,2560.1469684375543,1789.39111328125
A,B,leaky,0,True,0.9552321434020996,12525.655591624736,9436.2685546875
B,B,leaky,0,False,0.9998974204063416,599.6270976615383,386.5854797363281
B,A,leaky,0,True,0.979616641998291,13088.636903818518,8274.2216796875
A,A,leak_aware,1,False,0.9828894734382628,11991.910606738194,8362.548828125
A,B,leak_aware,1,True,0.8462673425674438,23211.350326941345,19422.740234375
B,B,leak_aware,1,False,0.9842103123664856,7438.822487463994,3074.0390625
B,A,leak_aware,1,True,0.8544889688491821,34970.744344380204,24724.95703125
A,A,leaky,1,False,0.9993067979812622,2413.757237171957,1556.7459716796875
A,B,leaky,1,True,0.8996455073356628,18753.645832210867,15107.6171875
B,B,leaky,1,False,0.9999191164970398,532.3972612157204,279.1311950683594
B,A,leaky,1,True,0.978787899017334,13352.068903357262,8020.48779296875
