featureset,train_site,method,spearman_A_vs_B_explanation,top1_match,top2_overlap
leak_aware,A,SHAP,0.19999999999999998,1.0,0.5
leak_aware,A,LIME,0.39999999999999997,1.0,0.5
leak_aware,A,IG,0.19999999999999998,1.0,0.5
leak_aware,A,ICE,0.7999999999999999,1.0,0.5
leak_aware,A,PDP,0.39999999999999997,1.0,0.5
leak_aware,B,SHAP,1.0,1.0,1.0
leak_aware,B,LIME,0.7999999999999999,1.0,0.5
leak_aware,B,IG,0.7999999999999999,1.0,0.5
leak_aware,B,ICE,1.0,1.0,1.0
leak_aware,B,PDP,1.0,1.0,1.0
leaky,A,SHAP,0.9047619047619048,1.0,1.0
leaky,A,LIME,0.7619047619047621,1.0,1.0
leaky,A,IG,0.5952380952380953,1.0,1.0
leaky,A,ICE,0.9047619047619048,1.0,1.0
leaky,A,PDP,0.9523809523809524,1.0,1.0
leaky,B,SHAP,0.9523809523809524,1.0,0.5
leaky,B,LIME,0.9761904761904763,1.0,1.0
leaky,B,IG,0.9285714285714287,1.0,1.0
leaky,B,ICE,1.0,1.0,1.0
leaky,B,PDP,1.0,1.0,1.0
